"ride_id","booker_id","driver_id","vehicle_id","ride_status_id","pickup_city_id","dropoff_city_id","ride_option_id","payment_method_id","booking_timestamp","pickup_latitude","pickup_longitude","pickup_address","dropoff_latitude","dropoff_longitude","dropoff_address","booker_name","booker_email","booker_phone","driver_name","driver_phone","driver_license","vehicle_license_plate","cancellation_reason_id","travel_distance_km","duration_minutes","passenger_count","pickup_timestamp","dropoff_timestamp","driver_rating","rating","base_fare","distance_fare","time_fare","surge_multiplier","subtotal","tip_amount","total_fare"
"01KGW2JVSZ5W8T0JG0YAS4K0DV","f2564a03-cd6d-45f4-b2b1-549e71e1ce22","bc923ca5-7afe-4082-8d40-56b25c0e8053","571eb066-5994-44d1-8536-96d16ed17656","1","TH-41","TH-41","2","1","2026-02-07T19:52:45.503710","17.935785673740153","102.11022397211758","โนนทอง, อำเภอนายูง, จังหวัดอุดรธานี, ประเทศไทย","17.99403034715151","102.11939811307424","โนนทอง, อำเภอนายูง, จังหวัดอุดรธานี, ประเทศไทย","ธัญญามาศ นุ่มกัน","sriisatynucchrii@example.com","024-970248","ธารา ถนัดภาษา","+66 (0) 7606 5772","37252088","หจ 4058","1","9.779030495793453","12","3","2026-02-07T19:52:45.503710","2026-02-07T20:04:45.503710","4.3","4","55.0","63.56","24.0","1.24","176.77","11","187.77"
"01KJ0EKBK4AG1KZ91QQ67YT79S","639808a2-5b73-4876-9447-fa668c8a6f57","d0a6745e-149d-407c-9b0c-9f87efc17d25","e2a72a77-3d11-4a6b-8657-7f6ceb459f09","1","TH-40","TH-40","4","4","2026-02-21T22:55:24.132199","16.483853947938886","102.93846223514369","บ้านโคกสี, บึงเนียม, อำเภอเมืองขอนแก่น, จังหวัดขอนแก่น, ประเทศไทย","16.640062925441534","102.90962658125748","ขก.4067, บ้านวังเกิ้ง, บ้านคอกวัว, ลำน้ำพอง, อำเภอน้ำพอง, จังหวัดขอนแก่น, ประเทศไทย","ธารา ทองแท้","suphchaynamthwach@example.net","0-4984-4455","ยนงคราญ ธรรมฤดี","+66 7798 7038","97365753","3บข 1576","1","26.337931856701864","24","2","2026-02-21T22:55:24.132199","2026-02-21T23:19:24.132199","4.3","5","100.0","395.07","96.0","1.0","591.07","0.0","591.07"
"01KH4PJF9XZT27KD6XWWG6YBFS","b0ea9b6b-a417-42f8-b0a9-f5e617e283d4","fcef8c79-e02c-4d36-8b0b-37d42f15aa29","81128409-83e8-4aa6-aca1-22d9700a32c5","1","TH-70","TH-70","1","1","2026-02-11T04:15:59.677208","13.583215206235243","99.97885697327033","ศรีดอนไผ่, อำเภอดำเนินสะดวก, จังหวัดราชบุรี, 70130, ประเทศไทย","13.649880471675642","99.99887571530994","ถนนบ้านสิงห์ - บ้านแพ้ว, บ้านดอนมะขามเทศ, บ้านแหลมทอง, อำเภอบางแพ, จังหวัดราชบุรี, ประเทศไทย","มนรัตน์ ธรรมสถิตไพศาล","phaaswuthi16@example.net","0 905 169 933","จณิสตา ถนัดหัตถกรรม","+66 7501 1471","82493993","คภ 3793","1","11.530659844762774","23","1","2026-02-11T04:15:59.677208","2026-02-11T04:38:59.677208","4.6","5","45.0","103.78","57.5","1.0","206.28","0.0","206.28"
"01KHF6RV9KP20A1BA4NSEQF4QN","e6d87611-856c-491e-b847-32eb52c837ba","d0ebe1f2-071b-4782-8879-b1ab673ac566","2c6675fc-011a-43ac-9515-fb0b9596b8ae","1","TH-41","TH-41","4","4","2026-02-15T06:11:30.099304","17.675373902383917","103.39875178318962","อำเภอบ้านดุง, จังหวัดอุดรธานี, ประเทศไทย","17.479515650118778","103.26508232268147","ทุ่งฝน, ทุ่งใหญ่, อำเภอทุ่งฝน, จังหวัดอุดรธานี, 41310, ประเทศไทย","บุญญกัลป์ เวียงจันทึก","nimu44@example.com","086 710 5084","พรชีวิน บุนยะตีรณะ","07 361 5886","14598644","3คข 9703","1","38.862018441005","38","1","2026-02-15T06:11:30.099304","2026-02-15T06:49:30.099304","4.1","5","100.0","582.93","152.0","1.0","834.93","64","898.93"
"01KHA6KBFK2RM7MFEQTVZRVQA0","74a760e4-2bf1-41bc-94de-557cdd71781c","d0267b6c-13ff-49eb-a4f3-fc4cb03a5679","e1eb16d4-555b-4e9c-8f42-04ff4ee92421","2","TH-50","TH-50","1","5","2026-02-13T07:32:17.907358","17.500119940095093","98.46719824570265","1099, อำเภออมก๋อย, จังหวัดเชียงใหม่, ประเทศไทย","17.549554005148266","98.45728886640723","อำเภออมก๋อย, จังหวัดเชียงใหม่, 50310, ประเทศไทย","ราณี ธาราธร","wrdaaphrsriitawan@example.net","0 5962 5203","ขวัญรุ้ง ตันยา","034903046","99817524","จค 8443","5","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KHNSVPZSH0RXKDVNPFH65XTF","65c87991-afca-4ba4-ae7d-db5728fb5850","fda10ce8-ff93-4a8b-9f8e-109d1379a586","1d30db14-9bfe-4cc3-9f16-4c16905a3f5f","1","TH-41","TH-41","1","2","2026-02-17T19:40:33.529316","17.32859666860032","102.76527532236668","บ้านจั่น, บ้านตาด, อำเภอเมืองอุดรธานี, จังหวัดอุดรธานี, ประเทศไทย","17.381245929265635","102.82096174286526","ศุภาลัย ปาล์มวิลล์ สันตพล - อุดรธานี, เทศบาลนครอุดรธานี, หนองขอนกว้าง, อำเภอเมืองอุดรธานี, จังหวัดอุดรธานี, ประเทศไทย","จุฑาภรณ์ หนุนสุข","xphiiraephykul@example.org","+66 (0) 822 425 784","กองสิน ทัศนสุทธิ","+66 (0) 998 656 772","56311254","5ธอ 6780","1","12.458256441302012","27","4","2026-02-17T19:40:33.529316","2026-02-17T20:07:33.529316","4.2","5","45.0","112.12","67.5","1.25","280.77","19","299.77"
"01KHZ1RD6VYMJRT2B535V1FSPR","89edb9f8-90ae-4a17-b43f-b30c9ec0f382","4ed477fd-f269-45b4-86e6-9f43b1cfd8e5","c9baac8e-bbc0-4db5-9c62-d090db3a3a76","2","TH-41","TH-41","5","5","2026-02-21T09:51:43.707807","17.806363488532693","102.15692279327932","โคกน้อย, น้ำโสม, อำเภอน้ำโสม, จังหวัดอุดรธานี, ประเทศไทย","17.822557438041994","102.09722875678703","2348, บ้านโนนศิลา, โนนทอง, อำเภอนายูง, จังหวัดอุดรธานี, ประเทศไทย","ภูวิช ขันธุลา","kadiratn38@example.com","020 505968","ภัคชัญญา แจ้งสว่าง","029-921335","99390497","ฉว 9120","3","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KGTK7BADD43D32W0TB0ND3T1","e7309bb0-0b28-41ae-b1ad-6dbfef631e3f","e37cd003-0cbd-4801-bb6f-f3008f43e8a2","5a03df2f-45fa-4141-9b9c-10989b99ed16","2","TH-50","TH-50","3","4","2026-02-07T06:05:05.101999","19.041063887268038","98.7021690592364","ชม.4067, บ้านปางมะกล้วย, อำเภอสะเมิง, จังหวัดเชียงใหม่, ประเทศไทย","19.070051251524117","98.72298107911821","Ban Yang Mae Luang, บ้านปางมะกล้วย, อำเภอแม่แตง, จังหวัดเชียงใหม่, ประเทศไทย","วีระโชติ ติณรัตน์","thaaraathnmphlkrang@example.org","075-858889","อาฮามัด หอมพิกุล","+66 2922 0583","92630480","4ขล 4281","4","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KJ3GHMHPVSVRMMZZ3J957HFK","f81c03ca-0d46-41e8-af77-a2e31100ad23","e0e0af3f-77ee-43ee-8f85-1e551a9baf17","f753e8c9-5f39-4817-a024-2f4b9baf125f","1","TH-84","TH-84","6","5","2026-02-23T03:27:08.214562","8.744793349228393","99.4043565455993","4229, พรุพี, อำเภอบ้านนาสาร, จังหวัดสุราษฎร์ธานี, ประเทศไทย","8.565247861298536","99.0289343548693","บ้านนิคมผัง 3, อำเภอพระแสง, จังหวัดสุราษฎร์ธานี, ประเทศไทย","เรืองเกียรติ หิรัญสาลี","xnuttaar@example.com","0-7685-9174","ศภัคชคง หนักแน่น","07 880 1405","81523050","8หร 4016","1","68.7645845540666","64","8","2026-02-23T03:27:08.214562","2026-02-23T04:31:08.214562","3.7","3","150.0","1375.29","320.0","1.0","1845.29","0.0","1845.29"
"01KJ7YY6J669RF447B0XPP4PFY","08cf73b7-24e5-4b8b-94a9-32a43357b770","df211a45-1083-466a-b822-dc58915781b0","4f2e9b1a-9352-49e0-b105-125faf891e1b","1","TH-30","TH-30","3","1","2026-02-24T20:55:37.670495","14.861465058081475","101.73490804745667","บ้านมะเกลือไหม่, ตำบลมะเกลือใหม่, อำเภอสูงเนิน, จังหวัดนครราชสีมา, 30140, ประเทศไทย","14.878457640354858","101.7236614624591","สีคิ้ว, ลาดบัวขาว, อำเภอสีคิ้ว, จังหวัดนครราชสีมา, 30140, ประเทศไทย","หฤทัย นฤภัย","tangrbkingaekw@example.com","074848589","ณัฐศักดิ์ ถนัดการยนต์","078 974853","20528821","อส 7258","1","3.354079545723706","10","1","2026-02-24T20:55:37.670495","2026-02-24T21:05:37.670495","4.1","5","20.0","33.54","20.0","1.34","98.54","0.0","98.54"
"01KGHWPYJRCGKP2E38KZQPJ464","2bfc6c3c-494b-4387-a987-ca50e01979d1","1510e668-d91c-43e4-9735-78af45f8634d","243c830c-7607-4b43-a3ac-3963d2318cab","1","TH-20","TH-20","3","1","2026-02-03T20:57:43.640206","13.192750698403412","101.42569732175178","3245, อำเภอบ่อทอง, บ่อกวางทอง, จังหวัดชลบุรี, ประเทศไทย","13.227628624382106","101.39039402579631","บ่อกวางทอง, จังหวัดชลบุรี, ประเทศไทย","คมกริบ อุ่นอก","surkaarn02@example.org","021 244414","ขวัญรุ้ง หนักแน่น","078-860504","85080261","กม 8774","1","8.151504391124021","12","1","2026-02-03T20:57:43.640206","2026-02-03T21:09:43.640206","3.6","2","20.0","81.52","24.0","1.41","176.98","0.0","176.98"
"01KHFWPF3NYCKYQW44DCKGD2M9","f5f6b562-a9e3-4078-99a1-20343c16210c","2b2087b5-96ca-43aa-b79b-330cf7543818","9dfb7997-f70b-4669-84ba-91152d160124","2","TH-20","TH-20","2","1","2026-02-15T12:34:40.757817","13.357012224813491","101.48372017324361","อำเภอบ่อทอง, ปรกฟ้า, อำเภอเกาะจันทร์, จังหวัดชลบุรี, ประเทศไทย","13.427047219489229","101.05621153160232","ดอนหัวฬ่อ, นาป่า, อำเภอเมืองชลบุรี, จังหวัดชลบุรี, 20160, ประเทศไทย","อาภัศรา นฤทุกข์","nathwrinthrtriikhruthphanthu@example.org","+66 653 272 064","สันติราษฎร์ ไทไชโย","053 153557","16245178","9กผ 9316","3","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KGKCS1JAB93WXM6FRD1ACGW8","422c0a07-66ac-41b5-817d-9e6413a92e45","9542d279-7ebe-49f9-b999-184aed8c5936","2a5fa2b3-9bb4-4971-9f38-c370492e8de7","2","TH-95","TH-95","1","1","2026-02-04T10:57:43.882927","5.976115012031338","101.39815283736637","อำเภอเบตง, จังหวัดยะลา, 95110, ประเทศไทย","5.963682459771577","101.45598829820682","อำเภอเบตง, จังหวัดยะลา, 95110, ประเทศไทย","นิภา ไตรบรรพ","raanii10@example.com","0 7292 3617","เลิศเดช เจริญรัมย์","038436653","66771489","ษน 2502","5","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KHEFVPPKXJ061VMY7YMSHKSP","2f187a68-13f7-47ce-a22b-0bccecc977bd","72f03eeb-f631-4f09-9315-c9e9aaa5110f","eb1988dd-4103-42c0-a9e9-553c2a977c2d","1","TH-90","TH-90","1","3","2026-02-14T23:31:06.451632","6.7762597893671925","100.7035832803098","408, บ้านแค, บ้านนา, อำเภอนาทวี, จังหวัดสงขลา, ประเทศไทย","6.839653903562614","100.68303305711679","บ้านนา, อำเภอจะนะ, จังหวัดสงขลา, ประเทศไทย","สุปรานี ธรรมฤดี","kadiratn73@example.net","+66 (0) 936 142 773","สมพิศ นาถะเดชะ","0-2350-7048","17178489","หล 6877","1","11.054381749280084","18","1","2026-02-14T23:31:06.451632","2026-02-14T23:49:06.451632","4.3","4","45.0","99.49","45.0","1.0","189.49","17","206.49"
"01KJ44B46ENXYF5P0VT0E0TH43","b8989392-7f90-4413-bea3-02f6436593c8","75112a45-fdf5-408c-97b9-a06f555806a6","f123c37e-1d4e-45b6-9391-793ecbc2746d","1","TH-10","TH-10","2","4","2026-02-23T09:13:06.382716","13.780286356870823","100.38963178855941","แขวงศาลาธรรมสพน์, เขตทวีวัฒนา, กรุงเทพมหานคร, กระทุ่มล้ม, ท่าตลาด, 10170, ประเทศไทย","13.735998931885804","100.35654961531858","แขวงหนองค้างพลู, เขตหนองแขม, กรุงเทพมหานคร, กระทุ่มล้ม, ท่าตลาด, 10160, ประเทศไทย","วันฉัตร ถาวรรัตน","nirandrthnadklueng@example.org","0-2283-1810","สมใจ เดชคุ้ม","+66 (0) 913 411 196","69230685","พบ 4957","1","9.100480822419929","14","4","2026-02-23T09:13:06.382716","2026-02-23T09:27:06.382716","4.7","5","55.0","59.15","28.0","1.29","183.37","0.0","183.37"
"01KGHS6B80CSJ4J632B8N5B0C9","52c3d666-1d89-44e7-99f9-0fd3be555b6d","6fbf9de4-37df-459b-8432-2849793c2925","c600b484-d630-4812-a1f2-79d70df55973","1","TH-50","TH-50","1","5","2026-02-03T19:56:13.824576","18.941708672401727","98.34510322065383","บ้านแม่ผาปู, อำเภอกัลยาณิวัฒนา, จังหวัดเชียงใหม่, ประเทศไทย","18.919182506192907","98.38102269950868","บ้านสบแม่แดด, อำเภอกัลยาณิวัฒนา, จังหวัดเชียงใหม่, ประเทศไทย","อณาวิน ผลบุญ","patthphngs51@example.net","039 486421","ธารา ดิศดใน","031-939790","29744522","3ทร 4051","1","6.796992850505898","12","3","2026-02-03T19:56:13.824576","2026-02-03T20:08:13.824576","4.5","3","45.0","61.17","30.0","1.24","168.85","17","185.85"
"01KHEDY6FS0GHQCFKEMH92ZA6Z","abdfd9ca-b1ad-4540-a9e9-d1d19218c158","a6c7f968-b203-4cc4-96ed-fe984a72b562","c21a0366-3dd5-4181-b506-0ebd24264acc","1","TH-84","TH-84","3","4","2026-02-14T22:57:31.001758","9.170533468685454","99.45185311467736","กาญจนดิษฐ์, ช้างขวา, อำเภอกาญจนดิษฐ์, จังหวัดสุราษฎร์ธานี, ประเทศไทย","9.16277362587719","99.38867457416582","บ้านบางสำโรง, ช้างขวา, อำเภอกาญจนดิษฐ์, จังหวัดสุราษฎร์ธานี, ประเทศไทย","ผกาทิพย์ อุลหัสสา","drmthitiratn@example.com","+664 434 5723","พีระพงศ์พันธ์ ทัศนสุทธิ","0952948554","84429733","1งฎ 6881","1","10.494922666491423","18","1","2026-02-14T22:57:31.001758","2026-02-14T23:15:31.001758","4.5","3","20.0","104.95","36.0","1.0","160.95","29","189.95"
"01KHWJAS6KW9PMFMSZP9YVSR6N","79a0ad65-c748-47a5-aea9-6211c0d841fd","bb7bffd8-4646-47a9-88db-0e6ce8eabcc5","c6121bc6-c5c3-422a-b96b-5459d5de8315","1","TH-12","TH-12","3","5","2026-02-20T10:43:39.731709","13.934169161166853","100.28844309651156","บ้านคลองสาม, ตำบลทวีวัฒนา, องค์การบริหารส่วนตำบลทวีวัฒนา, อำเภอไทรน้อย, จังหวัดนนทบุรี, 11150, ประเทศไทย","13.944047434166105","100.3113233508962","บ้านคลองหนึ่ง, ตำบลทวีวัฒนา, องค์การบริหารส่วนตำบลทวีวัฒนา, อำเภอไทรน้อย, จังหวัดนนทบุรี, 11150, ประเทศไทย","ธนภณ ยาปะโลหิต","phaaneklaaecchtphinisth@example.org","0-2586-4240","จันทนา นรวิทย์โชติกุล","054744842","14434087","ญน 3985","1","4.054914600243554","13","1","2026-02-20T10:43:39.731709","2026-02-20T10:56:39.731709","4.6","3","20.0","40.55","26.0","1.0","86.55","0.0","86.55"
"01KH01QWKAKCBGQX85JWZ9AFVE","de33614e-e7d6-4081-8fb6-a7890200678d","1c32665a-3136-4079-865b-1f796ad54b37","47ad8e94-bd72-42de-9d87-a53800ff6a29","2","TH-30","TH-30","2","2","2026-02-09T08:54:59.306630","14.80341422227894","101.54044425817882","ถนนมิตรภาพ, บ้านเลิศนิมิตร, ลาดบัวขาว, อำเภอปากช่อง, จังหวัดนครราชสีมา, 30340, ประเทศไทย","14.923957357612855","101.6479681853087","ลาดบัวขาว, อำเภอสีคิ้ว, จังหวัดนครราชสีมา, ประเทศไทย","ผกาทิพย์ เนื่องนนท์","phimphpraphaachumwra@example.org","+66 (0) 7697 6651","เพ็ญยุภา ธรรมสถิตไพศาล","0946973741","34924620","4ฮข 538","6","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KJ15X5RYNBF7YAHF0ET0PGSJ","0eedb643-2268-4a76-96c7-5fb1beb115e0","ba544a77-ba1b-4f70-a0e9-d1a385733a53","7cd10290-d14a-46fa-ab58-18b8a69281fc","2","TH-50","TH-50","3","5","2026-02-22T05:42:43.102522","19.22638782650895","99.12875176770886","แม่ปั๋ง, อำเภอพร้าว, จังหวัดเชียงใหม่, 50190, ประเทศไทย","19.300572850390097","99.12416860083445","น้ำแพร่, อำเภอพร้าว, จังหวัดเชียงใหม่, ประเทศไทย","นารดา สุวรรณหงษ์","wtirakhmn@example.net","+662 925 7134","เบญญาทิพย์ แก้วชลคราม","0610112621","44487191","3ญว 4592","5","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
